publishing_body,tool_name,published,url
HMRC,Ask HMRC online,2025-06-26T07:39:09Z,https://www.gov.uk/algorithmic-transparency-records/hmrc-ask-hmrc-online
Money and Pensions Service,Pension Calculator,2024-12-17T08:03:37Z,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-pension-calculator
DVLA,Contact Centre Chatbot service,2025-12-16T11:53:55Z,https://www.gov.uk/algorithmic-transparency-records/dvla-contact-centre-chatbot-service
DfE,Attendance reports using similar schools,2025-11-27T15:37:24Z,https://www.gov.uk/algorithmic-transparency-records/dfe-attendance-reports-using-similar-schools
OSBC,Interest Calculator,2025-02-10T07:53:25Z,https://www.gov.uk/algorithmic-transparency-records/osbc-interest-calculator
,TrustID,2025-11-27T15:40:07Z,https://www.gov.uk/algorithmic-transparency-records/trustid
DSIT,GOV.UK Chat,2025-10-07T12:53:06Z,https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-chat
Money and Pensions Service,Budget Planner,2025-02-10T07:50:38Z,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-budget-planner
LGSCO,LGSCO Chatbot,2026-07-02T09:17:03Z,https://www.gov.uk/algorithmic-transparency-records/lgsco-lgsco-chatbot
Maritime and Coastguard Agency,Proview Proctoring Tool,2026-07-02T09:28:29Z,https://www.gov.uk/algorithmic-transparency-records/maritime-and-coastguard-agency-proview-proctoring-tool
The Probation Service,Effective Proposal Framework,2025-02-10T07:50:58Z,https://www.gov.uk/algorithmic-transparency-records/the-probation-service-effective-proposal-framework
,DSIT - Parlex,2025-12-16T11:50:49Z,https://www.gov.uk/algorithmic-transparency-records/dsit-parlex
Money and Pensions Service,Mortgage Repayment Calculator,2025-12-16T12:10:30Z,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-mortgage-repayment-calculator
NHS BSA,Prescriptions and Dental Exemption check,2025-09-25T07:43:38Z,https://www.gov.uk/algorithmic-transparency-records/nhsbsa-prescriptions-and-dental-exemption-check
IPO,Check if you could register your trade mark tool,2025-12-16T12:03:37Z,https://www.gov.uk/algorithmic-transparency-records/ipo-check-if-you-could-register-your-trade-mark-tool
Money and Pensions Service,Mortgage Affordability Calculator,2025-12-16T12:10:02Z,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-mortgage-affordability-calculator
,Survey Summarisation Tool,2026-07-08T07:57:46Z,https://www.gov.uk/algorithmic-transparency-records/survey-summarisation-tool
DVSA,MOT Risk Rating,2025-02-10T07:52:06Z,https://www.gov.uk/algorithmic-transparency-records/dvsa-mot-risk-rating
DWP,Urgent Journal Messages,2025-10-30T08:05:54Z,https://www.gov.uk/algorithmic-transparency-records/dwp-urgent-journal-messages
Public Sector Fraud Authority,Fraud Risk Assessment Accelerator,2026-05-12T13:07:39Z,https://www.gov.uk/algorithmic-transparency-records/public-sector-fraud-authority-fraud-risk-assessment-accelerator
HMRC,Organisational Listening Tool,2026-06-03T09:12:09Z,https://www.gov.uk/algorithmic-transparency-records/organisational-listening-tool
NHS BSA,Residency Checker for UK EHIC/GHIC/PRC/S2,2025-02-10T07:51:23Z,https://www.gov.uk/algorithmic-transparency-records/nhs-bsa-residency-checker-for-ehic-slash-ghic-slash-prc
MoJ,nDelius Contact Log Semantic Search,2025-10-08T13:11:02Z,https://www.gov.uk/algorithmic-transparency-records/moj-ndelius-contact-log-semantic-search
DSIT,Consult,2025-05-14T14:20:10Z,https://www.gov.uk/algorithmic-transparency-records/dsit-consult
DESNZ,Heat Pump Suitability Tool,2025-12-16T12:04:45Z,https://www.gov.uk/algorithmic-transparency-records/desnz-heat-pump-suitability-tool
DSIT,GOV.UK One Login - Liveness & Likeness Checks,2025-12-16T11:54:44Z,https://www.gov.uk/algorithmic-transparency-records/dsit-gov-dot-uk-one-login-liveness-and-likeness-checks
DWP,Child Maintenance Service (CMS) - Predictive Analytics Compliance,2025-10-30T08:05:29Z,https://www.gov.uk/algorithmic-transparency-records/dwp-child-maintenance-service-cms-predictive-analytics-compliance
Oak National Academy,Aila (Oak's AI Lesson Assistant),2024-12-17T08:02:39Z,https://www.gov.uk/algorithmic-transparency-records/oak-national-academy-aila-oaks-ai-lesson-assistant
Newcastle City Council,Magic Notes,2025-12-16T12:22:50Z,https://www.gov.uk/algorithmic-transparency-records/newcastle-city-council-magic-notes
DWP,Conversational Platform,2025-12-16T12:09:02Z,https://www.gov.uk/algorithmic-transparency-records/dwp-conversational-platform
HMPPS,Key Work quality assurance automation,2025-09-25T07:43:06Z,https://www.gov.uk/algorithmic-transparency-records/hmpps-key-work-quality-assurance-automation
DWP,Universal Credit Advances Model,2025-12-16T12:05:38Z,https://www.gov.uk/algorithmic-transparency-records/dwp-universal-credit-advances-model
Cabinet Office,Assist,2025-10-27T09:08:25Z,https://www.gov.uk/algorithmic-transparency-records/cabinet-office-assist
Met Office,Weather and climate forecasting,2025-02-10T07:53:51Z,https://www.gov.uk/algorithmic-transparency-records/met-office-weather-and-climate-forecasting
Environment Agency,Hello Lamp Post,2025-06-03T09:06:44Z,https://www.gov.uk/algorithmic-transparency-records/environment-agency-hello-lamp-post
HMRC,VAT Return Analysis Tool,2025-12-16T12:00:44Z,https://www.gov.uk/algorithmic-transparency-records/hmrc-vat-return-analysis-tool
HMPPS,Violence in Prisons Estimator,2025-04-28T18:31:07Z,https://www.gov.uk/algorithmic-transparency-records/hmpps-violence-in-prisons-estimator
NHS England,Electronic Prescription Service Assist Me,2026-05-28T14:17:05Z,https://www.gov.uk/algorithmic-transparency-records/electronic-prescription-service-assist-me
DVLA,Drivers Medical Casework System,2025-05-29T08:16:24Z,https://www.gov.uk/algorithmic-transparency-records/dvla-drivers-medical-casework-system
Money and Pensions Service,Redundancy Pay Calculator,2025-02-10T07:52:26Z,https://www.gov.uk/algorithmic-transparency-records/money-and-pensions-service-redundancy-pay-calculator
MoJ,Splink Master Record,2025-10-06T07:41:56Z,https://www.gov.uk/algorithmic-transparency-records/moj-splink-master-record
Maritime and Coastguard Agency,Themis,2025-10-30T08:03:10Z,https://www.gov.uk/algorithmic-transparency-records/maritime-and-coastguard-agency-themis
DVLA,Contact Centre Natural Language IVR,2026-04-07T13:11:26Z,https://www.gov.uk/algorithmic-transparency-records/dvla-contact-centre-natural-language-ivr
,DSIT - Redbox,2025-04-28T18:31:09Z,https://www.gov.uk/algorithmic-transparency-records/dsit-redbox
DESNZ,Warm Homes: Local Grant,2026-03-30T09:18:04Z,https://www.gov.uk/algorithmic-transparency-records/desnz-warm-homes-local-grant
